"Dataset","#trainingReleases","%training","%defectiveTraining","%defectiveTesting","classifier","balancing","featureSelection","sensitivity","TP","FP","TN","FN","precision","recall","AUC","kappa"
"BOOKKEEPER","1","44.47","0.0","21.27","Random Forest","No sampling","Best First","Sensitive threshold","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Random Forest","No sampling","Best First","Sensitive learning","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Random Forest","No sampling","Best First","No cost sensitive","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Random Forest","No sampling","No selection","Sensitive threshold","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Random Forest","No sampling","No selection","Sensitive learning","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Random Forest","No sampling","No selection","No cost sensitive","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Random Forest","Undersampling","Best First","Sensitive threshold","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Random Forest","Undersampling","Best First","Sensitive learning","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Random Forest","Undersampling","Best First","No cost sensitive","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Random Forest","Undersampling","No selection","Sensitive threshold","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Random Forest","Undersampling","No selection","Sensitive learning","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Random Forest","Undersampling","No selection","No cost sensitive","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Random Forest","Oversampling","Best First","Sensitive threshold","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Random Forest","Oversampling","Best First","Sensitive learning","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Random Forest","Oversampling","Best First","No cost sensitive","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Random Forest","Oversampling","No selection","Sensitive threshold","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Random Forest","Oversampling","No selection","Sensitive learning","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Random Forest","Oversampling","No selection","No cost sensitive","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Naive Bayes","No sampling","Best First","Sensitive threshold","0.99422","1.0","0.0","0.00578","0.785388","0.99422","0.49711","-0.008981"
"BOOKKEEPER","1","44.47","0.0","21.27","Naive Bayes","No sampling","Best First","Sensitive learning","0.99422","1.0","0.0","0.00578","0.785388","0.99422","0.421965","-0.008981"
"BOOKKEEPER","1","44.47","0.0","21.27","Naive Bayes","No sampling","Best First","No cost sensitive","1.0","1.0","0.0","0.0","0.786364","1.0","0.317427","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Naive Bayes","No sampling","No selection","Sensitive threshold","0.99422","1.0","0.0","0.00578","0.785388","0.99422","0.49711","-0.008981"
"BOOKKEEPER","1","44.47","0.0","21.27","Naive Bayes","No sampling","No selection","Sensitive learning","0.99422","1.0","0.0","0.00578","0.785388","0.99422","0.421965","-0.008981"
"BOOKKEEPER","1","44.47","0.0","21.27","Naive Bayes","No sampling","No selection","No cost sensitive","0.99422","1.0","0.0","0.00578","0.785388","0.99422","0.421965","-0.008981"
"BOOKKEEPER","1","44.47","0.0","21.27","Naive Bayes","Undersampling","Best First","Sensitive threshold","0.99422","1.0","0.0","0.00578","0.785388","0.99422","0.49711","-0.008981"
"BOOKKEEPER","1","44.47","0.0","21.27","Naive Bayes","Undersampling","Best First","Sensitive learning","0.99422","1.0","0.0","0.00578","0.785388","0.99422","0.421965","-0.008981"
"BOOKKEEPER","1","44.47","0.0","21.27","Naive Bayes","Undersampling","Best First","No cost sensitive","1.0","1.0","0.0","0.0","0.786364","1.0","0.317427","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Naive Bayes","Undersampling","No selection","Sensitive threshold","0.99422","1.0","0.0","0.00578","0.785388","0.99422","0.49711","-0.008981"
"BOOKKEEPER","1","44.47","0.0","21.27","Naive Bayes","Undersampling","No selection","Sensitive learning","0.99422","1.0","0.0","0.00578","0.785388","0.99422","0.421965","-0.008981"
"BOOKKEEPER","1","44.47","0.0","21.27","Naive Bayes","Undersampling","No selection","No cost sensitive","0.99422","1.0","0.0","0.00578","0.785388","0.99422","0.421965","-0.008981"
"BOOKKEEPER","1","44.47","0.0","21.27","Naive Bayes","Oversampling","Best First","Sensitive threshold","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Naive Bayes","Oversampling","Best First","Sensitive learning","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Naive Bayes","Oversampling","Best First","No cost sensitive","1.0","1.0","0.0","0.0","0.786364","1.0","0.283606","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Naive Bayes","Oversampling","No selection","Sensitive threshold","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Naive Bayes","Oversampling","No selection","Sensitive learning","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Naive Bayes","Oversampling","No selection","No cost sensitive","0.99422","1.0","0.0","0.00578","0.785388","0.99422","0.421965","-0.008981"
"BOOKKEEPER","1","44.47","0.0","21.27","IBk","No sampling","Best First","Sensitive threshold","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","IBk","No sampling","Best First","Sensitive learning","1.0","1.0","0.0","0.0","0.786364","1.0","0.557803","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","IBk","No sampling","Best First","No cost sensitive","1.0","1.0","0.0","0.0","0.786364","1.0","0.658714","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","IBk","No sampling","No selection","Sensitive threshold","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","IBk","No sampling","No selection","Sensitive learning","1.0","1.0","0.0","0.0","0.786364","1.0","0.557803","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","IBk","No sampling","No selection","No cost sensitive","1.0","1.0","0.0","0.0","0.786364","1.0","0.557803","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","IBk","Undersampling","Best First","Sensitive threshold","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","IBk","Undersampling","Best First","Sensitive learning","1.0","1.0","0.0","0.0","0.786364","1.0","0.557803","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","IBk","Undersampling","Best First","No cost sensitive","1.0","1.0","0.0","0.0","0.786364","1.0","0.658714","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","IBk","Undersampling","No selection","Sensitive threshold","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","IBk","Undersampling","No selection","Sensitive learning","1.0","1.0","0.0","0.0","0.786364","1.0","0.557803","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","IBk","Undersampling","No selection","No cost sensitive","1.0","1.0","0.0","0.0","0.786364","1.0","0.557803","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","IBk","Oversampling","Best First","Sensitive threshold","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","IBk","Oversampling","Best First","Sensitive learning","1.0","1.0","0.0","0.0","0.786364","1.0","0.571701","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","IBk","Oversampling","Best First","No cost sensitive","1.0","1.0","0.0","0.0","0.786364","1.0","0.631165","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","IBk","Oversampling","No selection","Sensitive threshold","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","IBk","Oversampling","No selection","Sensitive learning","1.0","1.0","0.0","0.0","0.786364","1.0","0.571701","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","IBk","Oversampling","No selection","No cost sensitive","1.0","1.0","0.0","0.0","0.786364","1.0","0.557803","0.0"
"BOOKKEEPER","2","55.99","10.33","10.26","Random Forest","No sampling","Best First","Sensitive threshold","0.688172","0.5625","0.4375","0.311828","0.914286","0.688172","0.562836","0.0643"
"BOOKKEEPER","2","55.99","10.33","10.26","Random Forest","No sampling","Best First","Sensitive learning","0.964158","0.96875","0.03125","0.035842","0.896667","0.964158","0.596774","-0.006472"
"BOOKKEEPER","2","55.99","10.33","10.26","Random Forest","No sampling","Best First","No cost sensitive","0.97491","0.875","0.125","0.02509","0.906667","0.97491","0.695453","0.140816"
"BOOKKEEPER","2","55.99","10.33","10.26","Random Forest","No sampling","No selection","Sensitive threshold","0.688172","0.5625","0.4375","0.311828","0.914286","0.688172","0.562836","0.0643"
"BOOKKEEPER","2","55.99","10.33","10.26","Random Forest","No sampling","No selection","Sensitive learning","0.964158","0.96875","0.03125","0.035842","0.896667","0.964158","0.596774","-0.006472"
"BOOKKEEPER","2","55.99","10.33","10.26","Random Forest","No sampling","No selection","No cost sensitive","0.996416","0.96875","0.03125","0.003584","0.899676","0.996416","0.590782","0.047291"
"BOOKKEEPER","2","55.99","10.33","10.26","Random Forest","Undersampling","Best First","Sensitive threshold","0.605735","0.53125","0.46875","0.394265","0.908602","0.605735","0.537242","0.032576"
"BOOKKEEPER","2","55.99","10.33","10.26","Random Forest","Undersampling","Best First","Sensitive learning","0.9319","0.90625","0.09375","0.0681","0.899654","0.9319","0.56866","0.029767"
"BOOKKEEPER","2","55.99","10.33","10.26","Random Forest","Undersampling","Best First","No cost sensitive","0.770609","0.5","0.5","0.229391","0.930736","0.770609","0.640849","0.162628"
"BOOKKEEPER","2","55.99","10.33","10.26","Random Forest","Undersampling","No selection","Sensitive threshold","0.605735","0.53125","0.46875","0.394265","0.908602","0.605735","0.537242","0.032576"
"BOOKKEEPER","2","55.99","10.33","10.26","Random Forest","Undersampling","No selection","Sensitive learning","0.9319","0.90625","0.09375","0.0681","0.899654","0.9319","0.56866","0.029767"
"BOOKKEEPER","2","55.99","10.33","10.26","Random Forest","Undersampling","No selection","No cost sensitive","0.996416","0.96875","0.03125","0.003584","0.899676","0.996416","0.622872","0.047291"
"BOOKKEEPER","2","55.99","10.33","10.26","Random Forest","Oversampling","Best First","Sensitive threshold","0.695341","0.59375","0.40625","0.304659","0.910798","0.695341","0.550795","0.053106"
"BOOKKEEPER","2","55.99","10.33","10.26","Random Forest","Oversampling","Best First","Sensitive learning","0.928315","0.875","0.125","0.071685","0.902439","0.928315","0.585405","0.05995"
"BOOKKEEPER","2","55.99","10.33","10.26","Random Forest","Oversampling","Best First","No cost sensitive","0.878136","0.71875","0.28125","0.121864","0.914179","0.878136","0.662802","0.138337"
"BOOKKEEPER","2","55.99","10.33","10.26","Random Forest","Oversampling","No selection","Sensitive threshold","0.695341","0.59375","0.40625","0.304659","0.910798","0.695341","0.550795","0.053106"
"BOOKKEEPER","2","55.99","10.33","10.26","Random Forest","Oversampling","No selection","Sensitive learning","0.928315","0.875","0.125","0.071685","0.902439","0.928315","0.585405","0.05995"
"BOOKKEEPER","2","55.99","10.33","10.26","Random Forest","Oversampling","No selection","No cost sensitive","0.996416","0.96875","0.03125","0.003584","0.899676","0.996416","0.622872","0.047291"
"BOOKKEEPER","2","55.99","10.33","10.26","Naive Bayes","No sampling","Best First","Sensitive threshold","0.132616","0.40625","0.59375","0.867384","0.74","0.132616","0.363183","-0.065655"
"BOOKKEEPER","2","55.99","10.33","10.26","Naive Bayes","No sampling","Best First","Sensitive learning","0.136201","0.4375","0.5625","0.863799","0.730769","0.136201","0.361335","-0.072776"
"BOOKKEEPER","2","55.99","10.33","10.26","Naive Bayes","No sampling","Best First","No cost sensitive","1.0","1.0","0.0","0.0","0.897106","1.0","0.684644","0.0"
"BOOKKEEPER","2","55.99","10.33","10.26","Naive Bayes","No sampling","No selection","Sensitive threshold","0.132616","0.40625","0.59375","0.867384","0.74","0.132616","0.363183","-0.065655"
"BOOKKEEPER","2","55.99","10.33","10.26","Naive Bayes","No sampling","No selection","Sensitive learning","0.136201","0.4375","0.5625","0.863799","0.730769","0.136201","0.361335","-0.072776"
"BOOKKEEPER","2","55.99","10.33","10.26","Naive Bayes","No sampling","No selection","No cost sensitive","0.143369","0.46875","0.53125","0.856631","0.727273","0.143369","0.361335","-0.079389"
"BOOKKEEPER","2","55.99","10.33","10.26","Naive Bayes","Undersampling","Best First","Sensitive threshold","0.136201","0.46875","0.53125","0.863799","0.716981","0.136201","0.333725","-0.080594"
"BOOKKEEPER","2","55.99","10.33","10.26","Naive Bayes","Undersampling","Best First","Sensitive learning","0.139785","0.46875","0.53125","0.860215","0.722222","0.139785","0.352767","-0.079993"
"BOOKKEEPER","2","55.99","10.33","10.26","Naive Bayes","Undersampling","Best First","No cost sensitive","0.910394","0.75","0.25","0.089606","0.913669","0.910394","0.677643","0.158206"
"BOOKKEEPER","2","55.99","10.33","10.26","Naive Bayes","Undersampling","No selection","Sensitive threshold","0.136201","0.46875","0.53125","0.863799","0.716981","0.136201","0.333725","-0.080594"
"BOOKKEEPER","2","55.99","10.33","10.26","Naive Bayes","Undersampling","No selection","Sensitive learning","0.139785","0.46875","0.53125","0.860215","0.722222","0.139785","0.352767","-0.079993"
"BOOKKEEPER","2","55.99","10.33","10.26","Naive Bayes","Undersampling","No selection","No cost sensitive","0.143369","0.46875","0.53125","0.856631","0.727273","0.143369","0.361335","-0.079389"
"BOOKKEEPER","2","55.99","10.33","10.26","Naive Bayes","Oversampling","Best First","Sensitive threshold","0.387097","0.65625","0.34375","0.612903","0.837209","0.387097","0.365423","-0.087531"
"BOOKKEEPER","2","55.99","10.33","10.26","Naive Bayes","Oversampling","Best First","Sensitive learning","0.774194","0.75","0.25","0.225806","0.9","0.774194","0.346942","0.015715"
"BOOKKEEPER","2","55.99","10.33","10.26","Naive Bayes","Oversampling","Best First","No cost sensitive","0.455197","0.21875","0.78125","0.544803","0.947761","0.455197","0.636201","0.078664"
"BOOKKEEPER","2","55.99","10.33","10.26","Naive Bayes","Oversampling","No selection","Sensitive threshold","0.387097","0.65625","0.34375","0.612903","0.837209","0.387097","0.365423","-0.087531"
"BOOKKEEPER","2","55.99","10.33","10.26","Naive Bayes","Oversampling","No selection","Sensitive learning","0.774194","0.75","0.25","0.225806","0.9","0.774194","0.346942","0.015715"
"BOOKKEEPER","2","55.99","10.33","10.26","Naive Bayes","Oversampling","No selection","No cost sensitive","0.143369","0.46875","0.53125","0.856631","0.727273","0.143369","0.361335","-0.079389"
"BOOKKEEPER","2","55.99","10.33","10.26","IBk","No sampling","Best First","Sensitive threshold","0.985663","0.96875","0.03125","0.014337","0.898693","0.985663","0.508457","0.026996"
"BOOKKEEPER","2","55.99","10.33","10.26","IBk","No sampling","Best First","Sensitive learning","0.985663","0.96875","0.03125","0.014337","0.898693","0.985663","0.629424","0.026996"
"BOOKKEEPER","2","55.99","10.33","10.26","IBk","No sampling","Best First","No cost sensitive","0.971326","0.875","0.125","0.028674","0.906355","0.971326","0.651546","0.133168"
"BOOKKEEPER","2","55.99","10.33","10.26","IBk","No sampling","No selection","Sensitive threshold","0.985663","0.96875","0.03125","0.014337","0.898693","0.985663","0.508457","0.026996"
"BOOKKEEPER","2","55.99","10.33","10.26","IBk","No sampling","No selection","Sensitive learning","0.985663","0.96875","0.03125","0.014337","0.898693","0.985663","0.629424","0.026996"
"BOOKKEEPER","2","55.99","10.33","10.26","IBk","No sampling","No selection","No cost sensitive","0.992832","0.96875","0.03125","0.007168","0.899351","0.992832","0.629424","0.040213"
"BOOKKEEPER","2","55.99","10.33","10.26","IBk","Undersampling","Best First","Sensitive threshold","0.928315","0.90625","0.09375","0.071685","0.899306","0.928315","0.511033","0.025203"
"BOOKKEEPER","2","55.99","10.33","10.26","IBk","Undersampling","Best First","Sensitive learning","0.928315","0.90625","0.09375","0.071685","0.899306","0.928315","0.490423","0.025203"
"BOOKKEEPER","2","55.99","10.33","10.26","IBk","Undersampling","Best First","No cost sensitive","0.734767","0.65625","0.34375","0.265233","0.90708","0.734767","0.564068","0.045303"
"BOOKKEEPER","2","55.99","10.33","10.26","IBk","Undersampling","No selection","Sensitive threshold","0.928315","0.90625","0.09375","0.071685","0.899306","0.928315","0.511033","0.025203"
"BOOKKEEPER","2","55.99","10.33","10.26","IBk","Undersampling","No selection","Sensitive learning","0.928315","0.90625","0.09375","0.071685","0.899306","0.928315","0.490423","0.025203"
"BOOKKEEPER","2","55.99","10.33","10.26","IBk","Undersampling","No selection","No cost sensitive","0.992832","0.96875","0.03125","0.007168","0.899351","0.992832","0.629424","0.040213"
"BOOKKEEPER","2","55.99","10.33","10.26","IBk","Oversampling","Best First","Sensitive threshold","0.935484","0.875","0.125","0.064516","0.903114","0.935484","0.530242","0.070194"
"BOOKKEEPER","2","55.99","10.33","10.26","IBk","Oversampling","Best First","Sensitive learning","0.935484","0.875","0.125","0.064516","0.903114","0.935484","0.514113","0.070194"
"BOOKKEEPER","2","55.99","10.33","10.26","IBk","Oversampling","Best First","No cost sensitive","0.924731","0.875","0.125","0.075269","0.902098","0.924731","0.503752","0.055063"
"BOOKKEEPER","2","55.99","10.33","10.26","IBk","Oversampling","No selection","Sensitive threshold","0.935484","0.875","0.125","0.064516","0.903114","0.935484","0.530242","0.070194"
"BOOKKEEPER","2","55.99","10.33","10.26","IBk","Oversampling","No selection","Sensitive learning","0.935484","0.875","0.125","0.064516","0.903114","0.935484","0.514113","0.070194"
"BOOKKEEPER","2","55.99","10.33","10.26","IBk","Oversampling","No selection","No cost sensitive","0.992832","0.96875","0.03125","0.007168","0.899351","0.992832","0.629424","0.040213"
"BOOKKEEPER","3","66.42","12.85","13.13","Random Forest","No sampling","Best First","Sensitive threshold","0.567742","0.489362","0.510638","0.432258","0.884422","0.567742","0.53919","0.039155"
"BOOKKEEPER","3","66.42","12.85","13.13","Random Forest","No sampling","Best First","Sensitive learning","0.909677","0.914894","0.085106","0.090323","0.867692","0.909677","0.578861","-0.006033"
"BOOKKEEPER","3","66.42","12.85","13.13","Random Forest","No sampling","Best First","No cost sensitive","0.970968","1.0","0.0","0.029032","0.864943","0.970968","0.700824","-0.044187"
"BOOKKEEPER","3","66.42","12.85","13.13","Random Forest","No sampling","No selection","Sensitive threshold","0.567742","0.489362","0.510638","0.432258","0.884422","0.567742","0.53919","0.039155"
"BOOKKEEPER","3","66.42","12.85","13.13","Random Forest","No sampling","No selection","Sensitive learning","0.909677","0.914894","0.085106","0.090323","0.867692","0.909677","0.578861","-0.006033"
"BOOKKEEPER","3","66.42","12.85","13.13","Random Forest","No sampling","No selection","No cost sensitive","0.96129","1.0","0.0","0.03871","0.863768","0.96129","0.633905","-0.056584"
"BOOKKEEPER","3","66.42","12.85","13.13","Random Forest","Undersampling","Best First","Sensitive threshold","0.541935","0.425532","0.574468","0.458065","0.893617","0.541935","0.558202","0.055401"
"BOOKKEEPER","3","66.42","12.85","13.13","Random Forest","Undersampling","Best First","Sensitive learning","0.854839","0.851064","0.148936","0.145161","0.868852","0.854839","0.610432","0.003612"
"BOOKKEEPER","3","66.42","12.85","13.13","Random Forest","Undersampling","Best First","No cost sensitive","0.690323","0.340426","0.659574","0.309677","0.930435","0.690323","0.714825","0.203189"
"BOOKKEEPER","3","66.42","12.85","13.13","Random Forest","Undersampling","No selection","Sensitive threshold","0.541935","0.425532","0.574468","0.458065","0.893617","0.541935","0.558202","0.055401"
"BOOKKEEPER","3","66.42","12.85","13.13","Random Forest","Undersampling","No selection","Sensitive learning","0.854839","0.851064","0.148936","0.145161","0.868852","0.854839","0.610432","0.003612"
"BOOKKEEPER","3","66.42","12.85","13.13","Random Forest","Undersampling","No selection","No cost sensitive","0.964516","1.0","0.0","0.035484","0.864162","0.964516","0.612663","-0.052562"
"BOOKKEEPER","3","66.42","12.85","13.13","Random Forest","Oversampling","Best First","Sensitive threshold","0.516129","0.319149","0.680851","0.483871","0.914286","0.516129","0.59849","0.088793"
"BOOKKEEPER","3","66.42","12.85","13.13","Random Forest","Oversampling","Best First","Sensitive learning","0.851613","0.914894","0.085106","0.148387","0.859935","0.851613","0.583974","-0.061612"
"BOOKKEEPER","3","66.42","12.85","13.13","Random Forest","Oversampling","Best First","No cost sensitive","0.883871","0.851064","0.148936","0.116129","0.872611","0.883871","0.667159","0.034036"
"BOOKKEEPER","3","66.42","12.85","13.13","Random Forest","Oversampling","No selection","Sensitive threshold","0.516129","0.319149","0.680851","0.483871","0.914286","0.516129","0.59849","0.088793"
"BOOKKEEPER","3","66.42","12.85","13.13","Random Forest","Oversampling","No selection","Sensitive learning","0.851613","0.914894","0.085106","0.148387","0.859935","0.851613","0.583974","-0.061612"
"BOOKKEEPER","3","66.42","12.85","13.13","Random Forest","Oversampling","No selection","No cost sensitive","0.964516","1.0","0.0","0.035484","0.864162","0.964516","0.612663","-0.052562"
"BOOKKEEPER","3","66.42","12.85","13.13","Naive Bayes","No sampling","Best First","Sensitive threshold","0.916129","0.617021","0.382979","0.083871","0.907348","0.916129","0.649554","0.307432"
"BOOKKEEPER","3","66.42","12.85","13.13","Naive Bayes","No sampling","Best First","Sensitive learning","0.929032","0.702128","0.297872","0.070968","0.897196","0.929032","0.783905","0.251915"
"BOOKKEEPER","3","66.42","12.85","13.13","Naive Bayes","No sampling","Best First","No cost sensitive","0.977419","1.0","0.0","0.022581","0.865714","0.977419","0.717605","-0.035338"
"BOOKKEEPER","3","66.42","12.85","13.13","Naive Bayes","No sampling","No selection","Sensitive threshold","0.916129","0.617021","0.382979","0.083871","0.907348","0.916129","0.649554","0.307432"
"BOOKKEEPER","3","66.42","12.85","13.13","Naive Bayes","No sampling","No selection","Sensitive learning","0.929032","0.702128","0.297872","0.070968","0.897196","0.929032","0.783905","0.251915"
"BOOKKEEPER","3","66.42","12.85","13.13","Naive Bayes","No sampling","No selection","No cost sensitive","0.948387","0.787234","0.212766","0.051613","0.888218","0.948387","0.783905","0.19884"
"BOOKKEEPER","3","66.42","12.85","13.13","Naive Bayes","Undersampling","Best First","Sensitive threshold","0.887097","0.574468","0.425532","0.112903","0.910596","0.887097","0.656314","0.291576"
"BOOKKEEPER","3","66.42","12.85","13.13","Naive Bayes","Undersampling","Best First","Sensitive learning","0.903226","0.617021","0.382979","0.096774","0.906149","0.903226","0.753638","0.283645"
"BOOKKEEPER","3","66.42","12.85","13.13","Naive Bayes","Undersampling","Best First","No cost sensitive","0.974194","0.93617","0.06383","0.025806","0.872832","0.974194","0.742896","0.056324"
"BOOKKEEPER","3","66.42","12.85","13.13","Naive Bayes","Undersampling","No selection","Sensitive threshold","0.887097","0.574468","0.425532","0.112903","0.910596","0.887097","0.656314","0.291576"
